i:449, rate:4800, w: 6, P99: 1202.1375224879873
i:450, rate:3400, w: 6, P99: 1116.8664381990745
i:451, rate:2200, w: 0, P99: 888.1527592114277
i:452, rate:400, w: 0, P99: 135.86103755877951
i:453, rate:2600, w: 6, P99: 1033.7438925410347
i:454, rate:3600, w: 6, P99: 1130.8989761384876
i:455, rate:2800, w: 6, P99: 1056.8656158745348
i:456, rate:1600, w: 0, P99: 421.07847269389083
i:457, rate:4800, w: 6, P99: 1197.2581493654832
i:458, rate:2200, w: 0, P99: 894.4479290437226
i:459, rate:4200, w: 6, P99: 1174.2695418087724
i:460, rate:3800, w: 6, P99: 1146.647557468997
i:461, rate:2800, w: 6, P99: 1057.259352813617
i:462, rate:2400, w: 6, P99: 1007.4711381309731
i:463, rate:2000, w: 0, P99: 661.9216281487363
i:464, rate:2600, w: 6, P99: 1035.14771144849
i:465, rate:1000, w: 6, P99: 817.0783792682422
i:466, rate:4600, w: 6, P99: 1197.2686118426484
i:467, rate:4800, w: 6, P99: 1197.1759009587245
i:468, rate:4000, w: 6, P99: 1161.3162268496603
i:469, rate:3800, w: 6, P99: 1146.5533624181521
i:470, rate:800, w: 6, P99: 777.0558131526925
i:471, rate:2200, w: 0, P99: 887.7295858419176
i:472, rate:3200, w: 6, P99: 1097.148148901548
i:473, rate:4400, w: 6, P99: 1185.0142511199645
i:474, rate:3600, w: 6, P99: 1133.1884422757005
i:475, rate:1400, w: 0, P99: 337.01752887000475
i:476, rate:4200, w: 6, P99: 1172.4895045494673
i:477, rate:2800, w: 6, P99: 1056.8034438315601
i:478, rate:4400, w: 6, P99: 1182.8281420116152
i:479, rate:2600, w: 6, P99: 1034.5715018908156
i:480, rate:1400, w: 0, P99: 331.46114091938654
i:481, rate:600, w: 6, P99: 709.1581377173908
i:482, rate:2800, w: 6, P99: 1054.0651936623724
i:483, rate:4000, w: 6, P99: 1156.9907740122205
i:484, rate:1000, w: 6, P99: 817.5400428307148
i:485, rate:2200, w: 0, P99: 878.6983170495179
i:486, rate:2400, w: 6, P99: 1008.3339589962259
i:487, rate:3400, w: 6, P99: 1121.261737510412
i:488, rate:1000, w: 6, P99: 821.0857304072689
i:489, rate:1000, w: 6, P99: 820.1391661916232
i:490, rate:2800, w: 6, P99: 1059.5127410648508
i:491, rate:2200, w: 0, P99: 869.7572206639646
i:492, rate:600, w: 0, P99: 164.4438225854458
i:493, rate:1000, w: 6, P99: 813.456473694757
i:494, rate:3400, w: 6, P99: 1116.411703067809
i:495, rate:2200, w: 0, P99: 884.7459630744269
i:496, rate:2800, w: 6, P99: 1057.8344718071373
